语料 .light 文件：769  当前表：30 条 乘余例减出列则到加对常引接断是末模段的真空类自试跳过配长除首
[乘] 变化 1 文件 -> ③守卫管辖-护栏
[余] 变化 0 文件 -> ③守卫管辖-冗余
[例] 变化 3 文件 -> ②真护栏
[减] 变化 0 文件 -> ③守卫管辖-冗余
[出] 变化 2 文件 -> ②真护栏
[列] 变化 12 文件 -> ②真护栏
[则] 变化 2 文件 -> ②真护栏
[到] 变化 1 文件 -> ②真护栏
[加] 变化 2 文件 -> ③守卫管辖-护栏
[对] 变化 7 文件 -> ②真护栏
[常] 变化 3 文件 -> ②真护栏
[引] 变化 9 文件 -> ②真护栏
[接] 变化 3 文件 -> ②真护栏
[断] 变化 11 文件 -> ②真护栏
[是] 变化 0 文件 -> ①冗余可删
[末] 变化 1 文件 -> ②真护栏
[模] 变化 22 文件 -> ②真护栏
[段] 变化 13 文件 -> ②真护栏
[的] 变化 4 文件 -> ②真护栏
[真] 变化 1 文件 -> ③守卫管辖-护栏
[空] 变化 0 文件 -> ③守卫管辖-冗余
[类] 变化 26 文件 -> ②真护栏
[自] 变化 2 文件 -> ②真护栏
[试] 变化 1 文件 -> ②真护栏
[跳] 变化 1 文件 -> ②真护栏
[过] 变化 1 文件 -> ②真护栏
[配] 变化 2 文件 -> ②真护栏
[长] 变化 1 文件 -> ②真护栏
[除] 变化 0 文件 -> ③守卫管辖-冗余
[首] 变化 0 文件 -> ①冗余可删
[正向控制] 清空整表后语料 token 变化 118 文件（应 > 0）
ALL OK
